customer_id,age,gender,signup_date,contract_type,internet_service,payment_method,tenure_months,monthly_charges,total_charges,num_services,support_tickets,late_payments,satisfaction_score,last_login_days,city,churn
CUST100877,35.0,Female,2025-02-26,Month-to-month,No internet,Credit card,10,67.42,717.36,4,0,2,8.0,43.0,Chennai,Yes
CUST104885,34.0,Male,2025-08-20,One year,DSL,Bank transfer,4,44.08,166.14,4,0,0,9.0,2.0,Pune,No
CUST102484,37.0,Female,2021-08-25,One year,DSL,Bank transfer,52,32.9,1772.94,3,2,0,9.0,22.0,Mumbai,No
CUST102288,50.0,Male,2022-10-09,One year,Fiber optic,Electronic check,39,,2136.76,1,0,2,8.0,18.0,Mumbai,No
CUST100811,31.0,Male,2025-09-28,Month-to-month,DSL,Mailed check,3,58.23,193.64,4,1,3,6.0,35.0,Bengaluru,No
CUST100248,73.0,Male,2023-10-10,Month-to-month,DSL,Bank transfer,27,46.98,1198.45,2,3,2,8.0,9.0,Delhi,No
CUST103298,33.0,Male,2024-08-14,Two year,Fiber optic,Electronic check,17,60.26,1040.03,3,0,3,6.0,13.0,Delhi,No
CUST100106,27.0,Male,2022-03-12,One year,No internet,Mailed check,46,60.59,2837.41,6,0,1,9.0,29.0,Bengaluru,No
CUST100279,41.0,Female,2025-02-15,Month-to-month,DSL,Electronic check,11,74.28,812.64,7,3,1,7.0,23.0,Pune,Yes
CUST101281,18.0,Male,2024-05-20,One year,Fiber optic,Electronic check,19,95.69,1936.62,7,2,3,6.0,10.0,Hyderabad,No
CUST102822,46.0,Female,2022-01-13,Month-to-month,DSL,Credit card,48,60.62,2593.73,5,2,2,10.0,64.0,Pune,No
CUST104159,43.0,Female,2025-03-15,One year,DSL,Credit card,10,38.38,376.35,3,3,2,6.0,11.0,Chennai,Yes
CUST100642,63.0,Female,2021-01-05,Month-to-month,Fiber optic,Electronic check,60,86.39,5728.28,8,0,0,9.0,7.0,Chennai,No
